# Does a safe fifth card beat standing at four? Output is predicted leak - lower is better.
# A safe miss neither busts nor reaches 21. Placement is optimised over socket choices on BOTH sides.
arm,fourCardHand,fourCardTotal,fifthRank,fiveCardTotal,standLeak,hitLeak,delta,verdict
A,A+A+2+2,16,3,19,10.0,0.0,-10.0,HIT BETTER
A,A+A+2+2,16,4,20,10.0,0.0,-10.0,HIT BETTER
A,A+A+2+2,16,6,12,10.0,18.0,8.0,stand better
A,A+A+2+2,16,7,13,10.0,16.0,6.0,stand better
A,A+A+2+2,16,8,14,10.0,15.0,5.0,stand better
A,A+A+2+2,16,9,15,10.0,10.0,0.0,no difference
A,A+A+2+2,16,10,16,10.0,6.0,-4.0,HIT BETTER
A,A+A+2+2,16,J,16,10.0,6.0,-4.0,HIT BETTER
A,A+A+2+2,16,Q,16,10.0,6.0,-4.0,HIT BETTER
A,A+A+2+2,16,K,16,10.0,5.0,-5.0,HIT BETTER
A,A+A+2+3,17,2,19,4.0,0.0,-4.0,HIT BETTER
A,A+A+2+3,17,3,20,4.0,0.0,-4.0,HIT BETTER
A,A+A+2+3,17,5,12,4.0,18.0,14.0,stand better
A,A+A+2+3,17,6,13,4.0,18.0,14.0,stand better
A,A+A+2+3,17,7,14,4.0,14.0,10.0,stand better
A,A+A+2+3,17,8,15,4.0,10.0,6.0,stand better
A,A+A+2+3,17,9,16,4.0,7.0,3.0,stand better
A,A+A+2+3,17,10,17,4.0,3.0,-1.0,HIT BETTER
A,A+A+2+3,17,J,17,4.0,3.0,-1.0,HIT BETTER
A,A+A+2+3,17,Q,17,4.0,3.0,-1.0,HIT BETTER
A,A+A+2+3,17,K,17,4.0,2.0,-2.0,HIT BETTER
A,A+A+2+4,18,2,20,2.0,0.0,-2.0,HIT BETTER
A,A+A+2+4,18,4,12,2.0,18.0,16.0,stand better
A,A+A+2+4,18,5,13,2.0,17.0,15.0,stand better
A,A+A+2+4,18,6,14,2.0,17.0,15.0,stand better
A,A+A+2+4,18,7,15,2.0,10.0,8.0,stand better
A,A+A+2+4,18,8,16,2.0,8.0,6.0,stand better
A,A+A+2+4,18,9,17,2.0,6.0,4.0,stand better
A,A+A+2+4,18,10,18,2.0,2.0,0.0,no difference
A,A+A+2+4,18,J,18,2.0,2.0,0.0,no difference
A,A+A+2+4,18,Q,18,2.0,2.0,0.0,no difference
A,A+A+2+4,18,K,18,2.0,1.0,-1.0,HIT BETTER
A,A+A+2+5,19,3,12,0.0,18.0,18.0,stand better
A,A+A+2+5,19,4,13,0.0,17.0,17.0,stand better
A,A+A+2+5,19,5,14,0.0,15.0,15.0,stand better
A,A+A+2+5,19,6,15,0.0,9.0,9.0,stand better
A,A+A+2+5,19,7,16,0.0,9.0,9.0,stand better
A,A+A+2+5,19,8,17,0.0,7.0,7.0,stand better
A,A+A+2+5,19,9,18,0.0,0.0,0.0,no difference
A,A+A+2+5,19,10,19,0.0,0.0,0.0,no difference
A,A+A+2+5,19,J,19,0.0,0.0,0.0,no difference
A,A+A+2+5,19,Q,19,0.0,0.0,0.0,no difference
A,A+A+2+5,19,K,19,0.0,0.0,0.0,no difference
A,A+A+2+6,20,2,12,0.0,18.0,18.0,stand better
A,A+A+2+6,20,3,13,0.0,18.0,18.0,stand better
A,A+A+2+6,20,4,14,0.0,17.0,17.0,stand better
A,A+A+2+6,20,5,15,0.0,9.0,9.0,stand better
A,A+A+2+6,20,6,16,0.0,9.0,9.0,stand better
A,A+A+2+6,20,7,17,0.0,7.0,7.0,stand better
A,A+A+2+6,20,8,18,0.0,3.0,3.0,stand better
A,A+A+2+6,20,9,19,0.0,0.0,0.0,no difference
A,A+A+2+6,20,10,20,0.0,0.0,0.0,no difference
A,A+A+2+6,20,J,20,0.0,0.0,0.0,no difference
A,A+A+2+6,20,Q,20,0.0,0.0,0.0,no difference
A,A+A+2+6,20,K,20,0.0,0.0,0.0,no difference
A,A+A+2+8,12,2,14,16.0,15.0,-1.0,HIT BETTER
A,A+A+2+8,12,3,15,16.0,10.0,-6.0,HIT BETTER
A,A+A+2+8,12,4,16,16.0,8.0,-8.0,HIT BETTER
A,A+A+2+8,12,5,17,16.0,7.0,-9.0,HIT BETTER
A,A+A+2+8,12,6,18,16.0,3.0,-13.0,HIT BETTER
A,A+A+2+8,12,7,19,16.0,1.0,-15.0,HIT BETTER
A,A+A+2+8,12,8,20,16.0,0.0,-16.0,HIT BETTER
A,A+A+2+9,13,2,15,16.0,10.0,-6.0,HIT BETTER
A,A+A+2+9,13,3,16,16.0,7.0,-9.0,HIT BETTER
A,A+A+2+9,13,4,17,16.0,6.0,-10.0,HIT BETTER
A,A+A+2+9,13,5,18,16.0,0.0,-16.0,HIT BETTER
A,A+A+2+9,13,6,19,16.0,0.0,-16.0,HIT BETTER
A,A+A+2+9,13,7,20,16.0,0.0,-16.0,HIT BETTER
A,A+A+2+10,14,2,16,11.0,6.0,-5.0,HIT BETTER
A,A+A+2+10,14,3,17,11.0,3.0,-8.0,HIT BETTER
A,A+A+2+10,14,4,18,11.0,2.0,-9.0,HIT BETTER
A,A+A+2+10,14,5,19,11.0,0.0,-11.0,HIT BETTER
A,A+A+2+10,14,6,20,11.0,0.0,-11.0,HIT BETTER
A,A+A+2+J,14,2,16,11.0,6.0,-5.0,HIT BETTER
A,A+A+2+J,14,3,17,11.0,3.0,-8.0,HIT BETTER
A,A+A+2+J,14,4,18,11.0,2.0,-9.0,HIT BETTER
A,A+A+2+J,14,5,19,11.0,0.0,-11.0,HIT BETTER
A,A+A+2+J,14,6,20,11.0,0.0,-11.0,HIT BETTER
A,A+A+2+Q,14,2,16,10.0,6.0,-4.0,HIT BETTER
A,A+A+2+Q,14,3,17,10.0,3.0,-7.0,HIT BETTER
A,A+A+2+Q,14,4,18,10.0,2.0,-8.0,HIT BETTER
A,A+A+2+Q,14,5,19,10.0,0.0,-10.0,HIT BETTER
A,A+A+2+Q,14,6,20,10.0,0.0,-10.0,HIT BETTER
A,A+A+2+K,14,2,16,9.0,5.0,-4.0,HIT BETTER
A,A+A+2+K,14,3,17,9.0,2.0,-7.0,HIT BETTER
A,A+A+2+K,14,4,18,9.0,1.0,-8.0,HIT BETTER
A,A+A+2+K,14,5,19,9.0,0.0,-9.0,HIT BETTER
A,A+A+2+K,14,6,20,9.0,0.0,-9.0,HIT BETTER
A,A+A+3+3,18,2,20,2.0,0.0,-2.0,HIT BETTER
A,A+A+3+3,18,4,12,2.0,17.0,15.0,stand better
A,A+A+3+3,18,5,13,2.0,17.0,15.0,stand better
A,A+A+3+3,18,6,14,2.0,17.0,15.0,stand better
A,A+A+3+3,18,7,15,2.0,13.0,11.0,stand better
A,A+A+3+3,18,8,16,2.0,7.0,5.0,stand better
A,A+A+3+3,18,9,17,2.0,5.0,3.0,stand better
A,A+A+3+3,18,10,18,2.0,2.0,0.0,no difference
A,A+A+3+3,18,J,18,2.0,2.0,0.0,no difference
A,A+A+3+3,18,Q,18,2.0,2.0,0.0,no difference
A,A+A+3+3,18,K,18,2.0,1.0,-1.0,HIT BETTER
A,A+A+3+4,19,3,12,0.0,17.0,17.0,stand better
A,A+A+3+4,19,4,13,0.0,17.0,17.0,stand better
A,A+A+3+4,19,5,14,0.0,12.0,12.0,stand better
A,A+A+3+4,19,6,15,0.0,13.0,13.0,stand better
A,A+A+3+4,19,7,16,0.0,9.0,9.0,stand better
A,A+A+3+4,19,8,17,0.0,6.0,6.0,stand better
A,A+A+3+4,19,9,18,0.0,2.0,2.0,stand better
A,A+A+3+4,19,10,19,0.0,0.0,0.0,no difference
A,A+A+3+4,19,J,19,0.0,0.0,0.0,no difference
A,A+A+3+4,19,Q,19,0.0,0.0,0.0,no difference
A,A+A+3+4,19,K,19,0.0,0.0,0.0,no difference
A,A+A+3+5,20,2,12,0.0,18.0,18.0,stand better
A,A+A+3+5,20,3,13,0.0,17.0,17.0,stand better
A,A+A+3+5,20,4,14,0.0,12.0,12.0,stand better
A,A+A+3+5,20,5,15,0.0,14.0,14.0,stand better
A,A+A+3+5,20,6,16,0.0,9.0,9.0,stand better
A,A+A+3+5,20,7,17,0.0,7.0,7.0,stand better
A,A+A+3+5,20,8,18,0.0,1.0,1.0,stand better
A,A+A+3+5,20,9,19,0.0,0.0,0.0,no difference
A,A+A+3+5,20,10,20,0.0,0.0,0.0,no difference
A,A+A+3+5,20,J,20,0.0,0.0,0.0,no difference
A,A+A+3+5,20,Q,20,0.0,0.0,0.0,no difference
A,A+A+3+5,20,K,20,0.0,0.0,0.0,no difference
A,A+A+3+7,12,2,14,18.0,14.0,-4.0,HIT BETTER
A,A+A+3+7,12,3,15,18.0,13.0,-5.0,HIT BETTER
A,A+A+3+7,12,4,16,18.0,9.0,-9.0,HIT BETTER
A,A+A+3+7,12,5,17,18.0,7.0,-11.0,HIT BETTER
A,A+A+3+7,12,6,18,18.0,2.0,-16.0,HIT BETTER
A,A+A+3+7,12,7,19,18.0,1.0,-17.0,HIT BETTER
A,A+A+3+7,12,8,20,18.0,0.0,-18.0,HIT BETTER
A,A+A+3+8,13,2,15,16.0,10.0,-6.0,HIT BETTER
A,A+A+3+8,13,3,16,16.0,7.0,-9.0,HIT BETTER
A,A+A+3+8,13,4,17,16.0,6.0,-10.0,HIT BETTER
A,A+A+3+8,13,5,18,16.0,1.0,-15.0,HIT BETTER
A,A+A+3+8,13,6,19,16.0,0.0,-16.0,HIT BETTER
A,A+A+3+8,13,7,20,16.0,0.0,-16.0,HIT BETTER
A,A+A+3+9,14,2,16,14.0,7.0,-7.0,HIT BETTER
A,A+A+3+9,14,3,17,14.0,5.0,-9.0,HIT BETTER
A,A+A+3+9,14,4,18,14.0,2.0,-12.0,HIT BETTER
A,A+A+3+9,14,5,19,14.0,0.0,-14.0,HIT BETTER
A,A+A+3+9,14,6,20,14.0,0.0,-14.0,HIT BETTER
A,A+A+3+10,15,2,17,9.0,3.0,-6.0,HIT BETTER
A,A+A+3+10,15,3,18,9.0,2.0,-7.0,HIT BETTER
A,A+A+3+10,15,4,19,9.0,0.0,-9.0,HIT BETTER
A,A+A+3+10,15,5,20,9.0,0.0,-9.0,HIT BETTER
A,A+A+3+J,15,2,17,9.0,3.0,-6.0,HIT BETTER
A,A+A+3+J,15,3,18,9.0,2.0,-7.0,HIT BETTER
A,A+A+3+J,15,4,19,9.0,0.0,-9.0,HIT BETTER
A,A+A+3+J,15,5,20,9.0,0.0,-9.0,HIT BETTER
A,A+A+3+Q,15,2,17,9.0,3.0,-6.0,HIT BETTER
A,A+A+3+Q,15,3,18,9.0,2.0,-7.0,HIT BETTER
A,A+A+3+Q,15,4,19,9.0,0.0,-9.0,HIT BETTER
A,A+A+3+Q,15,5,20,9.0,0.0,-9.0,HIT BETTER
A,A+A+3+K,15,2,17,9.0,2.0,-7.0,HIT BETTER
A,A+A+3+K,15,3,18,9.0,1.0,-8.0,HIT BETTER
A,A+A+3+K,15,4,19,9.0,0.0,-9.0,HIT BETTER
A,A+A+3+K,15,5,20,9.0,0.0,-9.0,HIT BETTER
A,A+A+4+4,20,2,12,0.0,18.0,18.0,stand better
A,A+A+4+4,20,3,13,0.0,17.0,17.0,stand better
A,A+A+4+4,20,5,15,0.0,11.0,11.0,stand better
A,A+A+4+4,20,6,16,0.0,11.0,11.0,stand better
A,A+A+4+4,20,7,17,0.0,8.0,8.0,stand better
A,A+A+4+4,20,8,18,0.0,3.0,3.0,stand better
A,A+A+4+4,20,9,19,0.0,0.0,0.0,no difference
A,A+A+4+4,20,10,20,0.0,0.0,0.0,no difference
A,A+A+4+4,20,J,20,0.0,0.0,0.0,no difference
A,A+A+4+4,20,Q,20,0.0,0.0,0.0,no difference
A,A+A+4+4,20,K,20,0.0,0.0,0.0,no difference
A,A+A+4+6,12,2,14,18.0,17.0,-1.0,HIT BETTER
A,A+A+4+6,12,3,15,18.0,13.0,-5.0,HIT BETTER
A,A+A+4+6,12,4,16,18.0,11.0,-7.0,HIT BETTER
A,A+A+4+6,12,5,17,18.0,7.0,-11.0,HIT BETTER
A,A+A+4+6,12,6,18,18.0,2.0,-16.0,HIT BETTER
A,A+A+4+6,12,7,19,18.0,1.0,-17.0,HIT BETTER
A,A+A+4+6,12,8,20,18.0,0.0,-18.0,HIT BETTER
A,A+A+4+7,13,2,15,17.0,10.0,-7.0,HIT BETTER
A,A+A+4+7,13,3,16,17.0,9.0,-8.0,HIT BETTER
A,A+A+4+7,13,4,17,17.0,8.0,-9.0,HIT BETTER
A,A+A+4+7,13,5,18,17.0,2.0,-15.0,HIT BETTER
A,A+A+4+7,13,6,19,17.0,1.0,-16.0,HIT BETTER
A,A+A+4+7,13,7,20,17.0,0.0,-17.0,HIT BETTER
A,A+A+4+8,14,2,16,12.0,8.0,-4.0,HIT BETTER
A,A+A+4+8,14,3,17,12.0,6.0,-6.0,HIT BETTER
A,A+A+4+8,14,4,18,12.0,3.0,-9.0,HIT BETTER
A,A+A+4+8,14,5,19,12.0,0.0,-12.0,HIT BETTER
A,A+A+4+8,14,6,20,12.0,0.0,-12.0,HIT BETTER
A,A+A+4+9,15,2,17,11.0,6.0,-5.0,HIT BETTER
A,A+A+4+9,15,3,18,11.0,2.0,-9.0,HIT BETTER
A,A+A+4+9,15,4,19,11.0,0.0,-11.0,HIT BETTER
A,A+A+4+9,15,5,20,11.0,0.0,-11.0,HIT BETTER
A,A+A+4+10,16,2,18,8.0,2.0,-6.0,HIT BETTER
A,A+A+4+10,16,3,19,8.0,0.0,-8.0,HIT BETTER
A,A+A+4+10,16,4,20,8.0,0.0,-8.0,HIT BETTER
A,A+A+4+J,16,2,18,8.0,2.0,-6.0,HIT BETTER
A,A+A+4+J,16,3,19,8.0,0.0,-8.0,HIT BETTER
A,A+A+4+J,16,4,20,8.0,0.0,-8.0,HIT BETTER
A,A+A+4+Q,16,2,18,8.0,2.0,-6.0,HIT BETTER
A,A+A+4+Q,16,3,19,8.0,0.0,-8.0,HIT BETTER
A,A+A+4+Q,16,4,20,8.0,0.0,-8.0,HIT BETTER
A,A+A+4+K,16,2,18,6.0,1.0,-5.0,HIT BETTER
A,A+A+4+K,16,3,19,6.0,0.0,-6.0,HIT BETTER
A,A+A+4+K,16,4,20,6.0,0.0,-6.0,HIT BETTER
A,A+A+5+5,12,2,14,18.0,15.0,-3.0,HIT BETTER
A,A+A+5+5,12,3,15,18.0,14.0,-4.0,HIT BETTER
A,A+A+5+5,12,4,16,18.0,7.0,-11.0,HIT BETTER
A,A+A+5+5,12,6,18,18.0,0.0,-18.0,HIT BETTER
A,A+A+5+5,12,7,19,18.0,0.0,-18.0,HIT BETTER
A,A+A+5+5,12,8,20,18.0,0.0,-18.0,HIT BETTER
A,A+A+5+6,13,2,15,13.0,9.0,-4.0,HIT BETTER
A,A+A+5+6,13,3,16,13.0,9.0,-4.0,HIT BETTER
A,A+A+5+6,13,4,17,13.0,7.0,-6.0,HIT BETTER
A,A+A+5+6,13,5,18,13.0,0.0,-13.0,HIT BETTER
A,A+A+5+6,13,6,19,13.0,0.0,-13.0,HIT BETTER
A,A+A+5+6,13,7,20,13.0,0.0,-13.0,HIT BETTER
A,A+A+5+7,14,2,16,14.0,9.0,-5.0,HIT BETTER
A,A+A+5+7,14,3,17,14.0,7.0,-7.0,HIT BETTER
A,A+A+5+7,14,4,18,14.0,2.0,-12.0,HIT BETTER
A,A+A+5+7,14,5,19,14.0,0.0,-14.0,HIT BETTER
A,A+A+5+7,14,6,20,14.0,0.0,-14.0,HIT BETTER
A,A+A+5+8,15,2,17,10.0,7.0,-3.0,HIT BETTER
A,A+A+5+8,15,3,18,10.0,1.0,-9.0,HIT BETTER
A,A+A+5+8,15,4,19,10.0,0.0,-10.0,HIT BETTER
A,A+A+5+8,15,5,20,10.0,0.0,-10.0,HIT BETTER
A,A+A+5+9,16,2,18,8.0,0.0,-8.0,HIT BETTER
A,A+A+5+9,16,3,19,8.0,0.0,-8.0,HIT BETTER
A,A+A+5+9,16,4,20,8.0,0.0,-8.0,HIT BETTER
A,A+A+5+10,17,2,19,2.0,0.0,-2.0,HIT BETTER
A,A+A+5+10,17,3,20,2.0,0.0,-2.0,HIT BETTER
A,A+A+5+J,17,2,19,2.0,0.0,-2.0,HIT BETTER
A,A+A+5+J,17,3,20,2.0,0.0,-2.0,HIT BETTER
A,A+A+5+Q,17,2,19,2.0,0.0,-2.0,HIT BETTER
A,A+A+5+Q,17,3,20,2.0,0.0,-2.0,HIT BETTER
A,A+A+5+K,17,2,19,2.0,0.0,-2.0,HIT BETTER
A,A+A+5+K,17,3,20,2.0,0.0,-2.0,HIT BETTER
A,A+A+6+6,14,2,16,13.0,9.0,-4.0,HIT BETTER
A,A+A+6+6,14,3,17,13.0,8.0,-5.0,HIT BETTER
A,A+A+6+6,14,4,18,13.0,2.0,-11.0,HIT BETTER
A,A+A+6+6,14,5,19,13.0,0.0,-13.0,HIT BETTER
A,A+A+6+7,15,2,17,10.0,7.0,-3.0,HIT BETTER
A,A+A+6+7,15,3,18,10.0,2.0,-8.0,HIT BETTER
A,A+A+6+7,15,4,19,10.0,1.0,-9.0,HIT BETTER
A,A+A+6+7,15,5,20,10.0,0.0,-10.0,HIT BETTER
A,A+A+6+8,16,2,18,7.0,3.0,-4.0,HIT BETTER
A,A+A+6+8,16,3,19,7.0,0.0,-7.0,HIT BETTER
A,A+A+6+8,16,4,20,7.0,0.0,-7.0,HIT BETTER
A,A+A+6+9,17,2,19,3.0,0.0,-3.0,HIT BETTER
A,A+A+6+9,17,3,20,3.0,0.0,-3.0,HIT BETTER
A,A+A+6+10,18,2,20,0.0,0.0,0.0,no difference
A,A+A+6+J,18,2,20,0.0,0.0,0.0,no difference
A,A+A+6+Q,18,2,20,0.0,0.0,0.0,no difference
A,A+A+6+K,18,2,20,0.0,0.0,0.0,no difference
A,A+A+7+7,16,2,18,8.0,1.0,-7.0,HIT BETTER
A,A+A+7+7,16,3,19,8.0,1.0,-7.0,HIT BETTER
A,A+A+7+7,16,4,20,8.0,0.0,-8.0,HIT BETTER
A,A+A+7+8,17,2,19,4.0,1.0,-3.0,HIT BETTER
A,A+A+7+8,17,3,20,4.0,0.0,-4.0,HIT BETTER
A,A+A+7+9,18,2,20,1.0,0.0,-1.0,HIT BETTER
A,A+A+8+8,18,2,20,2.0,0.0,-2.0,HIT BETTER
A,A+2+2+3,18,A,19,1.0,0.0,-1.0,HIT BETTER
A,A+2+2+3,18,4,12,1.0,17.0,16.0,stand better
A,A+2+2+3,18,5,13,1.0,17.0,16.0,stand better
A,A+2+2+3,18,6,14,1.0,14.0,13.0,stand better
A,A+2+2+3,18,7,15,1.0,10.0,9.0,stand better
A,A+2+2+3,18,8,16,1.0,7.0,6.0,stand better
A,A+2+2+3,18,9,17,1.0,3.0,2.0,stand better
A,A+2+2+3,18,10,18,1.0,0.0,-1.0,HIT BETTER
A,A+2+2+3,18,J,18,1.0,0.0,-1.0,HIT BETTER
A,A+2+2+3,18,Q,18,1.0,0.0,-1.0,HIT BETTER
A,A+2+2+3,18,K,18,1.0,0.0,-1.0,HIT BETTER
A,A+2+2+4,19,A,20,1.0,0.0,-1.0,HIT BETTER
A,A+2+2+4,19,3,12,1.0,17.0,16.0,stand better
A,A+2+2+4,19,4,13,1.0,17.0,16.0,stand better
A,A+2+2+4,19,5,14,1.0,13.0,12.0,stand better
A,A+2+2+4,19,6,15,1.0,12.0,11.0,stand better
A,A+2+2+4,19,7,16,1.0,9.0,8.0,stand better
A,A+2+2+4,19,8,17,1.0,6.0,5.0,stand better
A,A+2+2+4,19,9,18,1.0,2.0,1.0,stand better
A,A+2+2+4,19,10,19,1.0,0.0,-1.0,HIT BETTER
A,A+2+2+4,19,J,19,1.0,0.0,-1.0,HIT BETTER
A,A+2+2+4,19,Q,19,1.0,0.0,-1.0,HIT BETTER
A,A+2+2+4,19,K,19,1.0,0.0,-1.0,HIT BETTER
A,A+2+2+5,20,3,13,0.0,17.0,17.0,stand better
A,A+2+2+5,20,4,14,0.0,13.0,13.0,stand better
A,A+2+2+5,20,5,15,0.0,13.0,13.0,stand better
A,A+2+2+5,20,6,16,0.0,8.0,8.0,stand better
A,A+2+2+5,20,7,17,0.0,7.0,7.0,stand better
A,A+2+2+5,20,8,18,0.0,0.0,0.0,no difference
A,A+2+2+5,20,9,19,0.0,0.0,0.0,no difference
A,A+2+2+5,20,10,20,0.0,0.0,0.0,no difference
A,A+2+2+5,20,J,20,0.0,0.0,0.0,no difference
A,A+2+2+5,20,Q,20,0.0,0.0,0.0,no difference
A,A+2+2+5,20,K,20,0.0,0.0,0.0,no difference
